aaron,ˈɛɹən
david,ˈdeɪvɪd
davidson,ˈdeɪvɪdsən
davis,ˈdeɪvəs
dawn,ˈdɔn
day,ˈdeɪ
days,ˈdeɪz
dayton,ˈdeɪtən
dc,ˌdiˈsi
dead,ˈdɛd
deadline,ˈdɛdˌɫaɪn
deadly,ˈdɛdɫi
deaf,ˈdɛf
deal,ˈdiɫ
dealer,ˈdiɫɝ
dealers,ˈdiɫɝz
dealing,ˈdiɫɪŋ
deals,ˈdiɫz
dealt,ˈdɛɫt
dean,ˈdin
dear,ˈdɪɹ
death,ˈdɛθ
deaths,ˈdɛθs
debate,dəˈbeɪt
debian,ˈdɛˌbiən
deborah,ˈdɛbɝə
debt,ˈdɛt
debug,diˈbəɡ
debut,ˈdeɪbju
decade,ˈdɛkeɪd
decades,ˈdɛkeɪdz
december,dɪˈsɛmbɝ
decent,ˈdisənt
decide,ˌdɪˈsaɪd
decided,ˌdɪˈsaɪdɪd
decimal,ˈdɛsəməɫ
decision,dɪˈsɪʒən
decisions,dɪˈsɪʒənz
deck,ˈdɛk
declaration,ˌdɛkɫɝˈeɪʃən
declare,dɪˈkɫɛɹ
declared,dɪˈkɫɛɹd
decline,dɪˈkɫaɪn
declined,dɪˈkɫaɪnd
decor,ˈdeɪkɔɹ
decorating,ˈdɛkɝˌeɪtɪŋ
decorative,ˈdɛkɹətɪv
decrease,ˈdiˌkɹis
decreased,ˈdiˌkɹist
dedicated,ˈdɛdəkeɪtəd
deemed,ˈdimd
deep,ˈdip
deeper,ˈdipɝ
deeply,ˈdipɫi
deer,ˈdɪɹ
default,dɪˈfɔɫt
defeat,dɪˈfit
defects,ˈdifɛkts
defence,dɪˈfɛns
defend,dɪˈfɛnd
defendant,dɪˈfɛndənt
defense,dɪˈfɛns
defensive,dɪˈfɛnsɪv
deferred,dɪˈfɝd
deficit,ˈdɛfəsət
define,dɪˈfaɪn
defined,dɪˈfaɪnd
defines,dɪˈfaɪnz
defining,dɪˈfaɪnɪŋ
definitely,ˈdɛfənətɫi
definition,ˌdɛfəˈnɪʃən
definitions,ˌdɛfəˈnɪʃənz
degree,dɪˈɡɹi
degrees,dɪˈɡɹiz
del,ˈdɛɫ
delaware,ˈdɛɫəˌwɛɹ
delay,dɪˈɫeɪ
delayed,dɪˈɫeɪd
delays,dɪˈɫeɪz
delegation,ˌdɛɫəˈɡeɪʃən
delete,dɪˈɫit
deleted,dɪˈɫitəd
delhi,ˈdɛɫi
delicious,dɪˈɫɪʃəs
delight,dɪˈɫaɪt
deliver,dɪˈɫɪvɝ
delivered,dɪˈɫɪvɝd
delivering,dɪˈɫɪvɝɪŋ
delivers,dɪˈɫɪvɝz
delivery,dɪˈɫɪvɝi
dell,ˈdɛɫ
delta,ˈdɛɫtə
deluxe,dəˈɫəks
demand,dɪˈmænd
demanding,dɪˈmændɪŋ
demands,dɪˈmændz
demo,ˈdɛmoʊ
democracy,dɪˈmɑkɹəsi
democrat,ˈdɛməˌkɹæt
democratic,ˌdɛməˈkɹætɪk
democrats,ˈdɛməˌkɹæts
demographic,ˌdɛməˈɡɹæfɪk
demonstrate,ˈdɛmənˌstɹeɪt
demonstrated,ˈdɛmənˌstɹeɪtɪd
demonstrates,ˈdɛmənˌstɹeɪts
demonstration,ˌdɛmənˈstɹeɪʃən
denial,dɪˈnaɪəɫ
denied,dɪˈnaɪd
denmark,ˈdɛnˌmɑɹk
dennis,ˈdɛnɪs
dense,ˈdɛns
density,ˈdɛnsəti
dental,ˈdɛnəɫ
dentists,ˈdɛntəsts
denver,ˈdɛnvɝ
deny,dɪˈnaɪ
department,dɪˈpɑɹtmənt
departmental,dɪˌpɑɹtˈmɛnəɫ
departments,dɪˈpɑɹtmənts
departure,dɪˈpɑɹtʃɝ
depend,dɪˈpɛnd
dependence,dɪˈpɛndəns
dependent,dɪˈpɛndənt
depending,dɪˈpɛndɪŋ
depends,dɪˈpɛndz
deployment,dɪˈpɫɔɪmənt
deposit,dəˈpɑzɪt
deposits,dəˈpɑzɪts
depot,ˈdipoʊ
depression,dɪˈpɹɛʃən
depth,ˈdɛpθ
deputy,ˈdɛpjəti
derby,ˈdɝbi
derek,ˈdɛɹɪk
derived,dɝˈaɪvd
descending,dɪˈsɛndɪŋ
describe,dɪsˈkɹaɪb
described,dɪsˈkɹaɪbd
describes,dɪsˈkɹaɪbz
describing,dɪsˈkɹaɪbɪŋ
description,dɪsˈkɹɪpʃən
descriptions,dɪsˈkɹɪpʃənz
desert,ˈdɛzɝt
deserve,dɪˈzɝv
design,dɪˈzaɪn
designated,ˈdɛzɪɡˌneɪtɪd
designation,ˌdɛzəɡˈneɪʃən
designed,dɪˈzaɪnd
designer,dɪˈzaɪnɝ
designers,dɪˈzaɪnɝz
designing,dɪˈzaɪnɪŋ
designs,dɪˈzaɪnz
desirable,dɪˈzaɪɝəbəɫ
desire,dɪˈzaɪɝ
desired,dɪˈzaɪɝd
desk,ˈdɛsk
desktop,ˈdɛskˌtɑp
desktops,ˈdɛskˌtɑps
desperate,ˈdɛspɝɪt
despite,dɪˈspaɪt
destination,ˌdɛstəˈneɪʃən
destinations,ˌdɛstəˈneɪʃənz
destiny,ˈdɛstəni
destroy,dɪˈstɹɔɪ
destroyed,dɪˈstɹɔɪd
destruction,dɪˈstɹəkʃən
detail,ˈditeɪɫ
detailed,dɪˈteɪɫd
details,ˈditeɪɫz
detect,dɪˈtɛkt
detected,dɪˈtɛktəd
detection,dɪˈtɛkʃən
detective,dɪˈtɛktɪv
detector,dɪˈtɛktɝ
determination,dɪˌtɝməˈneɪʃən
determine,dəˈtɝmən
determined,dɪˈtɝmənd
determines,dəˈtɝmənz
determining,dɪˈtɝmənɪŋ
detroit,ˈdiˌtɹɔɪt
deutsch,ˈdɔɪtʃ
deutsche,ˈdɔɪtʃ
deutschland,ˈdɔɪtʃɫænd
dev,ˈdɛv
develop,dɪˈvɛɫəp
developed,dɪˈvɛɫəpt
developer,dɪˈvɛɫəpɝ
developers,dɪˈvɛɫəpɝz
developing,dɪˈvɛɫəpɪŋ
development,dɪˈvɛɫəpmənt
developmental,dɪˌvɛɫəpˈmɛnəɫ
developments,dɪˈvɛɫəpmənts
develops,dɪˈvɛɫəps
deviant,ˈdiviənt
deviation,ˌdiviˈeɪʃən
device,dɪˈvaɪs
devices,dɪˈvaɪsəz
devil,ˈdɛvəɫ
devon,ˈdɛvən
devoted,dɪˈvoʊtɪd
diabetes,ˌdaɪəˈbitiz
diagnosis,ˌdaɪəɡˈnoʊsəs
diagnostic,ˌdaɪəɡˈnɑstɪk
diagram,ˈdaɪəˌɡɹæm
dial,ˈdaɪəɫ
dialog,ˈdaɪəɫɔɡ
dialogue,ˈdaɪəˌɫɔɡ
diameter,daɪˈæmətɝ
diamond,ˈdaɪmənd
diamonds,ˈdaɪməndz
diana,daɪˈænə
diane,daɪˈæn
diary,ˈdaɪɝi
dice,ˈdaɪs
dick,ˈdɪk
dicke,ˈdɪk
dicks,ˈdɪks
dictionaries,ˈdɪkʃəˌnɛɹiz
dictionary,ˈdɪkʃəˌnɛɹi
did,ˈdɪd
die,ˈdaɪ
died,ˈdaɪd
diego,diˈeɪɡoʊ
dies,ˈdaɪz
diesel,ˈdisəɫ
diet,ˈdaɪət
dietary,ˈdaɪəˌtɛɹi
diff,ˈdɪf
differ,ˈdɪfɝ
difference,ˈdɪfɝəns
differences,ˈdɪfɝənsɪz
different,ˈdɪfɝənt
differential,ˌdɪfɝˈɛnʃəɫ
differently,ˈdɪfɝˈɛntɫi
difficult,ˈdɪfəkəɫt
difficulties,ˈdɪfəkəɫtiz
difficulty,ˈdɪfəkəɫti
dig,ˈdɪɡ
digest,ˈdaɪdʒɛst
digit,ˈdɪdʒət
digital,ˈdɪdʒətəɫ
dildo,ˈdɪɫˌdoʊ
dildos,ˈdɪɫˌdoʊz
dim,ˈdɪm
dimension,dɪˈmɛnʃən
dimensional,dɪˈmɛnʃənəɫ
dimensions,dɪˈmɛnʃənz
dining,ˈdaɪnɪŋ
dinner,ˈdɪnɝ
dip,ˈdɪp
diploma,dɪˈpɫoʊmɑ
direct,daɪˈɹɛkt
directed,daɪˈɹɛktɪd
direction,daɪˈɹɛkʃɪn
directions,daɪˈɹɛkʃɪnz
directive,daɪˈɹɛktɪv
directly,daɪˈɹɛkɫi
director,daɪˈɹɛktɝ
directories,daɪˈɹɛktɝiz
directors,daɪˈɹɛktɝz
directory,daɪˈɹɛktɝi
dirt,ˈdɝt
dirty,ˈdɝti
disabilities,dɪsəˈbɪɫətiz
disability,ˌdɪsəˈbɪɫɪti
disable,dɪˈseɪbəɫ
disabled,dɪˈseɪbəɫd
disagree,dɪsəˈɡɹi
disappointed,ˌdɪsəˈpɔɪnɪd
disaster,dɪˈzæstɝ
disc,ˈdɪsk
discharge,ˈdɪsˌtʃɑɹdʒ
disciplinary,ˈdɪsəpɫəˌnɛɹi
discipline,ˈdɪsəpɫən
disciplines,ˈdɪsəpɫənz
disclaimer,dɪˈskɫeɪmɝ
disclaimers,dɪˈskɫeɪmɝz
disclose,dɪˈskɫoʊz
disclosure,dɪˈskɫoʊʒɝ
disco,ˈdɪskoʊ
discount,ˈdɪskaʊnt
discounted,ˈdɪsˌkaʊnɪd
discounts,ˈdɪsˌkaʊnts
discover,dɪˈskəvɝ
discovered,dɪˈskəvɝd
discovery,ˌdɪsˈkəvɹi
discrete,dɪsˈkɹit
discretion,dɪsˈkɹɛʃən
discrimination,dɪsˌkɹɪməˈneɪʃən
discs,ˈdɪsks
discuss,dɪˈskəs
discussed,dɪˈskəst
discusses,dɪˈskəsəz
discussing,dɪˈskəsɪŋ
discussion,dɪˈskəʃən
discussions,dɪˈskəʃənz
disease,dɪˈziz
diseases,dɪˈzizəz
dish,ˈdɪʃ
dishes,ˈdɪʃəz
disk,ˈdɪsk
disks,ˈdɪsks
disney,ˈdɪzni
disorder,dɪˈsɔɹdɝ
disorders,dɪˈsɔɹdɝz
dispatch,dɪˈspætʃ
dispatched,dɪˈspætʃt
display,dɪsˈpɫeɪ
displayed,dɪsˈpɫeɪd
displaying,dɪsˈpɫeɪɪŋ
displays,dɪsˈpɫeɪz
disposal,dɪˈspoʊzəɫ
disposition,ˌdɪspəˈzɪʃən
dispute,dɪˈspjut
disputes,dɪˈspjuts
distance,ˈdɪstəns
distances,ˈdɪstənsəz
distant,ˈdɪstənt
distinct,dɪˈstɪŋkt
distinction,dɪˈstɪŋkʃən
distinguished,dɪˈstɪŋɡwɪʃt
distribute,dɪˈstɹɪbjut
distributed,dɪˈstɹɪbjətəd
distribution,ˌdɪstɹəbˈjuʃən
distributions,ˌdɪstɹəbˈjuʃənz
distributor,dɪˈstɹɪbjətɝ
distributors,dɪˈstɹɪbjətɝz
district,ˈdɪstɹɪkt
districts,ˈdɪstɹɪkts
disturbed,dɪˈstɝbd
dive,ˈdaɪv
diverse,daɪˈvɝs
diversity,daɪˈvɝsɪti
divide,dɪˈvaɪd
divided,dɪˈvaɪdɪd
dividend,ˈdɪvɪˌdɛnd
divine,dɪˈvaɪn
diving,ˈdaɪvɪŋ
division,dɪˈvɪʒən
divisions,dɪˈvɪʒənz
divorce,dɪˈvɔɹs
dj,ˈdiˈdʒeɪ
dna,ˈdiˌɛˈneɪ
dns,ˌdiˌɛˈnɛs
do,ˈdu
doc,ˈdɑk
dock,ˈdɑk
docs,ˈdɑks
doctor,ˈdɑktɝ
doctors,ˈdɑktɝz
doctrine,ˈdɑktɹən
document,ˈdɑkjəmɛnt
documentary,ˌdɑkjəˈmɛnɝi
documentation,ˌdɑkjəmɛnˈteɪʃən
documented,ˈdɑkjəˌmɛnəd
documents,ˈdɑkjəmənts
dodge,ˈdɑdʒ
does,ˈdəz
dog,ˈdɔɡ
dogs,ˈdɑɡz
doing,ˈduɪŋ
doll,ˈdɑɫ
dollar,ˈdɑɫɝ
dollars,ˈdɑɫɝz
dolls,ˈdɑɫz
dom,ˈdɑm
domain,doʊˈmeɪn
domains,doʊˈmeɪnz
dome,ˈdoʊm
domestic,dəˈmɛstɪk
dominant,ˈdɑmənənt
dominican,dəˈmɪnəkən
don,ˈdɑn
donald,ˈdɑnəɫd
donate,ˈdoʊˌneɪt
donated,ˈdoʊˌneɪtɪd
donation,doʊˈneɪʃən
donations,doʊˈneɪʃənz
done,ˈdən
donna,ˈdɑnə
donor,ˈdoʊnɝ
donors,ˈdoʊnɝz
doom,ˈdum
door,ˈdɔɹ
doors,ˈdɔɹz
dos,ˈdoʊs
dosage,ˈdoʊsədʒ
dose,ˈdoʊs
dot,ˈdɑt
double,ˈdəbəɫ
doubt,ˈdaʊt
doug,ˈdəɡ
douglas,ˈdəɡɫəs
dover,ˈdoʊvɝ
down,ˈdaʊn
download,ˈdaʊnˌɫoʊd
downloaded,ˈdaʊnˌɫoʊdɪd
downloading,ˈdaʊnˌɫoʊdɪŋ
downloads,ˈdaʊnˌɫoʊdz
downtown,ˈdaʊnˈtaʊn
dozen,ˈdəzən
dozens,ˈdəzənz
dr,ˈdɑktɝ
draft,ˈdɹæft
drag,ˈdɹæɡ
dragon,ˈdɹæɡən
drain,ˈdɹeɪn
drainage,ˈdɹeɪnədʒ
drama,ˈdɹɑmə
dramatic,dɹəˈmætɪk
dramatically,dɹəˈmætɪkəɫi
draw,ˈdɹɔ
drawing,ˈdɹɔɪŋ
drawings,ˈdɹɔɪŋz
drawn,ˈdɹɔn
draws,ˈdɹɔz
dream,ˈdɹim
dreams,ˈdɹimz
dress,ˈdɹɛs
dressed,ˈdɹɛst
dresses,ˈdɹɛsəz
dressing,ˈdɹɛsɪŋ
drew,ˈdɹu
dried,ˈdɹaɪd
drill,ˈdɹɪɫ
drilling,ˈdɹɪɫɪŋ
drink,ˈdɹɪŋk
drinking,ˈdɹɪŋkɪŋ
drinks,ˈdɹɪŋks
drive,ˈdɹaɪv
driven,ˈdɹɪvən
driver,ˈdɹaɪvɝ
drivers,ˈdɹaɪvɝz
drives,ˈdɹaɪvz
driving,ˈdɹaɪvɪŋ
drop,ˈdɹɑp
dropped,ˈdɹɑpt
drops,ˈdɹɑps
drove,ˈdɹoʊv
drug,ˈdɹəɡ
drugs,ˈdɹəɡz
drum,ˈdɹəm
drums,ˈdɹəmz
drunk,ˈdɹəŋk
dry,ˈdɹaɪ
dryer,ˈdɹaɪɝ
dual,ˈduəɫ
dubai,duˈbaɪ
dublin,ˈdəbɫɪn
duck,ˈdək
dude,ˈdud
due,ˈdju
duke,ˈduk
dumb,ˈdəm
dump,ˈdəmp
duncan,ˈdəŋkən
duo,ˈduoʊ
duplicate,ˈdupɫəˌkeɪt
durable,ˈdʊɹəbəɫ
duration,ˈdʊˈɹeɪʃən
durham,ˈdɝəm
during,ˈdɝɪŋ
dust,ˈdəst
dutch,ˈdətʃ
duties,ˈdutiz
duty,ˈdjuti
dvd,ˌdiˌviˈdi
dvds,ˌdiˌviˈdiz
dying,ˈdaɪɪŋ
dylan,ˈdɪɫən
dynamic,daɪˈnæmɪk
dynamics,daɪˈnæmɪks
each,ˈitʃ
eagle,ˈiɡəɫ
eagles,ˈiɡəɫz
ear,ˈiɹ
earl,ˈɝɫ
earlier,ˈɝɫiɝ
earliest,ˈɝɫiəst
early,ˈɝɫi
earn,ˈɝn
earned,ˈɝnd
earning,ˈɝnɪŋ
earnings,ˈɝnɪŋz
earrings,ˈiɹɪŋz
ears,ˈiɹz
earth,ˈɝθ
earthquake,ˈɝθˌkweɪk
ease,ˈiz
easier,ˈiziɝ
easily,ˈizəɫi
east,ˈist
easter,ˈistɝ
eastern,ˈistɝn
easy,ˈizi
eat,ˈit
eating,ˈitɪŋ
ebay,ˈiˌbeɪ
ebony,ˈɛbəni
echo,ˈɛkoʊ
eclipse,əˈkɫɪps
eco,ˈɛkoʊ
ecological,ɛkəˈɫɑdʒɪkəɫ
ecology,iˈkɑɫədʒi
economic,ˌɛkəˈnɑmɪk
economics,ˌɛkəˈnɑmɪks
economies,iˈkɑnəmiz
economy,iˈkɑnəmi
ecuador,ˈɛkwəˌdɔɹ
eddie,ˈɛdi
eden,ˈidən
edgar,ˈɛdɡɝ
edge,ˈɛdʒ
edges,ˈɛdʒəz
edinburgh,ˈɛdənbɝoʊ
edit,ˈɛdət
edited,ˈɛdətəd
editing,ˈɛdətɪŋ
edition,əˈdɪʃən
editions,ɪˈdɪʃənz
editor,ˈɛdətɝ
editorial,ˌɛdəˈtɔɹiəɫ
editorials,ˌɛdəˈtɔɹiəɫz
editors,ˈɛdɪtɝz
edmonton,ˈɛdməntən
educated,ˈɛdʒəˌkeɪtɪd
education,ˌɛdʒəˈkeɪʃən
educational,ˌɛdʒəˈkeɪʃənəɫ
educators,ˈɛdʒəˌkeɪtɝz
edward,ˈɛdwɝd
edwards,ˈɛdwɝdz
effect,ˈifɛkt
effective,ˈifɛktɪv
effectively,ˈifɛktɪvɫi
effectiveness,ˈifɛktɪvnəs
effects,ˈifɛkts
efficiency,ɪˈfɪʃənsi
efficient,ɪˈfɪʃənt
efficiently,ɪˈfɪʃəntɫi
effort,ˈɛfɝt
efforts,ˈɛfɝts
egg,ˈɛɡ
eggs,ˈɛɡz
egypt,ˈidʒəpt
egyptian,ɪˈdʒɪpʃən
eh,ˈɛ
eight,ˈeɪt
either,ˈaɪðɝ
ejaculation,iˌdʒækjuˈɫeɪʃən
elder,ˈɛɫdɝ
elderly,ˈɛɫdɝɫi
elect,ɪˈɫɛkt
elected,ɪˈɫɛktəd
election,ɪˈɫɛkʃən
elections,ɪˈɫɛkʃənz
electoral,ɪˈɫɛktɝəɫ
electric,ɪˈɫɛktɹɪk
electrical,ɪˈɫɛktɹɪkəɫ
electricity,ɪˌɫɛkˈtɹɪsəti
electro,ɪˈɫɛktɹoʊ
electron,ˌɪˈɫɛktɹɑn
electronic,ˌɪˌɫɛkˈtɹɑnɪk
electronics,ˌɪˌɫɛkˈtɹɑnɪks
elegant,ˈɛɫəɡənt
element,ˈɛɫəmənt
elementary,ˌɛɫəˈmɛntɝɹi
elements,ˈɛɫəmənts
elephant,ˈɛɫəfənt
elevation,ˌɛɫəˈveɪʃən
eleven,ˈiɫɛvən
eligibility,ˌɛɫɪdʒəˈbɪɫɪti
eligible,ˈɛɫədʒəbəɫ
eliminate,ɪˈɫɪməˌneɪt
elimination,ɪˌɫɪməˈneɪʃən
elite,eɪˈɫit
elizabeth,ɪˈɫɪzəbəθ
ellen,ˈɛɫən
elliott,ˈɛɫiət
ellis,ˈɛɫɪs
else,ˈɛɫs
elsewhere,ˈɛɫˌswɛɹ
elvis,ˈɛɫvɪs
emacs,ˈiˌmæks
email,iˈmeɪɫ
emails,iˈmeɪɫz
embassy,ˈɛmbəsi
embedded,ɛmˈbɛdɪd
emerald,ˈɛmɝɹəɫd
emergency,ˈimɝdʒənsi
emerging,ˈimɝdʒɪŋ
emily,ˈɛmɪɫi
eminem,ˈɛmənəm
emirates,ˈɛmɝˌeɪts
emission,ɪˈmɪʃən
emissions,ɪˈmɪʃənz
emma,ˈɛmə
emotional,ˈiˌmoʊʃənəɫ
emotions,ˈimoʊʃənz
emperor,ˈɛmpɝɝ
emphasis,ˈɛmfəsəs
empire,ˈɛmpaɪɝ
empirical,ˌɛmˈpɪɹɪkəɫ
employ,ɛmˈpɫɔɪ
employed,ɛmˈpɫɔɪd
employee,ɛmˈpɫɔɪi
employees,ɛmˈpɫɔɪiz
employer,ɛmˈpɫɔɪɝ
employers,ɛmˈpɫɔɪɝz
employment,ɛmˈpɫɔɪmənt
empty,ˈɛmpti
enable,ɛˈneɪbəɫ
enabled,ɛˈneɪbəɫd
enables,ɛˈneɪbəɫz
enabling,ɛˈneɪbəɫɪŋ
enclosed,ɛnˈkɫoʊzd
enclosure,ɛnˈkɫoʊʒɝ
encoding,ɛnˈkoʊdɪŋ
encounter,ɪnˈkaʊnɝ
encountered,ɪnˈkaʊnɝd
encourage,ɛnˈkɝɪdʒ
encouraged,ɛnˈkɝɪdʒd
encourages,ɛnˈkɝɪdʒɪz
encouraging,ɛnˈkɝɪdʒɪŋ
encryption,ɛnˈkɹɪpʃən
encyclopedia,ɪnˌsaɪkɫəˈpidiə
end,ˈɛnd
endangered,ɛnˈdeɪndʒɝd
ended,ˈɛndəd
ending,ˈɛndɪŋ
endless,ˈɛndɫəs
endorsed,ɛnˈdɔɹst
endorsement,ɛnˈdɔɹsmənt
ends,ˈɛndz
enemies,ˈɛnəmiz
enemy,ˈɛnəmi
energy,ˈɛnɝdʒi
enforcement,ɛnˈfɔɹsmənt
eng,ˈɛŋ
engage,ɛnˈɡeɪdʒ
engaged,ɛnˈɡeɪdʒd
engagement,ɛnˈɡeɪdʒmənt
engaging,ɛnˈɡeɪdʒɪŋ
engine,ˈɛndʒən
engineer,ˈɛndʒəˈnɪɹ
engineering,ˈɛndʒəˈnɪɹɪŋ
engineers,ˈɛndʒəˈnɪɹz
engines,ˈɛndʒənz
england,ˈɪŋɡɫənd
english,ˈɪŋɡɫɪʃ
enhance,ɛnˈhæns
enhanced,ɛnˈhænst
enhancement,ɛnˈhænsmənt
enhancements,ɛnˈhænsmənts
enhancing,ɛnˈhænsɪŋ
enjoy,ˌɛnˈdʒɔɪ
enjoyed,ˌɛnˈdʒɔɪd
enjoying,ˌɛnˈdʒɔɪɪŋ
enlarge,ˌɛnˈɫɑɹdʒ
enlargement,ɪnˈɫɑɹdʒmənt
enormous,iˈnɔɹməs
enough,iˈnəf
enquiry,ɪnˈkwaɪˌɹi
enrolled,ɛnˈɹoʊɫd
enrollment,ɛnˈɹoʊɫmənt
ensemble,ɑnˈsɑmbəɫ
ensure,ɛnˈʃʊɹ
ensures,ɛnˈʃʊɹz
ensuring,ɛnˈʃʊɹɪŋ
enter,ˈɛnɝ
entered,ˈɛnɝd
entering,ˈɛnɝɪŋ
enterprise,ˈɛnɝˌpɹaɪz
enterprises,ˈɛnɝˌpɹaɪzɪz
enters,ˈɛnɝz
entertaining,ˌɛnɝˈteɪnɪŋ
entertainment,ˌɛnɝˈteɪnmənt
entire,ɪnˈtaɪɝ
entirely,ɪnˈtaɪɝɫi
entities,ˈɛntɪtiz
entitled,ɛnˈtaɪtəɫd
entity,ˈɛntəti
entrance,ˈɛntɹəns
entrepreneur,ˌɑntɹəpɹəˈnɝ
entrepreneurs,ˌɑntɹəpɹəˈnɝz
entries,ˈɛntɹiz
entry,ˈɛntɹi
envelope,ˈɛnvəˌɫoʊp
environment,ɪnˈvaɪɹənmənt
environmental,ɪnˌvaɪɹənˈmɛnəɫ
environments,ɪnˈvaɪɹənmənts
enzyme,ˈɛnˌzaɪm
epic,ˈɛpɪk
episode,ˈɛpəˌsoʊd
episodes,ˈɛpəˌsoʊdz
epson,ˈɛpsən
equal,ˈikwəɫ
equality,ɪˈkwɑɫəti
equally,ˈikwəɫi
equation,ɪˈkweɪʒən
equations,ɪˈkweɪʒənz
equilibrium,ˌikwəˈɫɪbɹiəm
equipment,ɪˈkwɪpmənt
equipped,ɪˈkwɪpt
equity,ˈɛkwəti
equivalent,ɪˈkwɪvəɫənt
era,ˈɛɹə
eric,ˈɛɹɪk
ericsson,ˈɛɹɪksən
erik,ˈɛɹɪk
erotic,ɪˈɹɑtɪk
erotica,ɪˈɹɑtɪkə
error,ˈɛɹɝ
errors,ˈɛɹɝz
escape,ɪˈskeɪp
escort,ˈɛskɔɹt
escorts,ˈɛskɔɹts
especially,əˈspɛʃəɫi
espn,ˈiˈɛsˈpiˈɛn
essay,ˈɛˌseɪ
essays,ˈɛˌseɪz
essence,ˈɛsəns
essential,ɛˈsɛnʃəɫ
essentially,ɛˈsɛnʃəɫi
essentials,ɛˈsɛnʃəɫz
essex,ˈɛsɪks
establish,ɪˈstæbɫɪʃ
established,ɪˈstæbɫɪʃt
establishing,ɪˈstæbɫɪʃɪŋ
establishment,ɪˈstæbɫɪʃmənt
estate,ɪˈsteɪt
estates,ɪˈsteɪts
estimate,ˈɛstəˌmeɪt
estimated,ˈɛstəˌmeɪtəd
estimates,ˈɛstəˌmeɪts
estimation,ˌɛstəˈmeɪʃən
estonia,ɛˈstoʊniə
et,ˈɛt
etc,ˌɛtˈsɛtɝə
eternal,iˈtɝnəɫ
ethernet,ˈiθɝˌnɛt
ethical,ˈɛθɪkəɫ
ethics,ˈɛθɪks
ethiopia,ˌiθiˈoʊpiə
ethnic,ˈɛθnɪk
eugene,ˈjudʒin
euro,ˈjuɹoʊ
europe,ˈjʊɹəp
european,ˌjʊɹəˈpiən
euros,ˈjuˌɹoʊz
eva,ˈeɪvə
evaluate,iˈvæɫjuˌeɪt
evaluated,iˈvæɫjuˌeɪtəd
evaluating,iˈvæɫjuˌeɪtɪŋ
evaluation,iˌvæɫjuˈeɪʃən
evaluations,iˌvæɫjuˈeɪʃənz
evanescence,ˌɛvəˈnɛsəns
evans,ˈɛvənz
eve,ˈiv
even,ˈivɪn
evening,ˈivnɪŋ
event,iˈvɛnt
events,iˈvɛnts
eventually,iˈvɛnʃəɫi
ever,ˈɛvɝ
every,ˈɛvɝi
everybody,ˈɛvɹiˌbɑdi
everyday,ˈɛvɹiˈdeɪ
everyone,ˈɛvɹiˌwən
everything,ˈɛvɹiˌθɪŋ
everywhere,ˈɛvɹiˌwɛɹ
evidence,ˈɛvədəns
evident,ˈɛvədənt
evil,ˈivəɫ
evolution,ˌɛvəˈɫuʃən
ex,ˈɛks
exact,ɪɡˈzækt
exactly,ɪɡˈzæktɫi
exam,ɪɡˈzæm
examination,ɪɡˌzæməˈneɪʃən
examinations,ɪɡˌzæməˈneɪʃənz
examine,ɪɡˈzæmɪn
examined,ɪɡˈzæmənd
examines,ɪɡˈzæmənz
examining,ɪɡˈzæmɪnɪŋ
example,ɪɡˈzæmpəɫ
examples,ɪɡˈzæmpəɫz
exams,ɪɡˈzæmz
exceed,ɪkˈsid
excel,ɪkˈsɛɫ
excellence,ˈɛksəɫəns
excellent,ˈɛksəɫənt
except,ɪkˈsɛpt
exception,ɪkˈsɛpʃən
exceptional,ɪkˈsɛpʃənəɫ
exceptions,ɪkˈsɛpʃənz
excerpt,ˈɛksɝpt
excess,ˈɛkˌsɛs
excessive,ɪkˈsɛsɪv
exchange,ɪksˈtʃeɪndʒ
exchanges,ɪksˈtʃeɪndʒəz
excited,ɪkˈsaɪtəd
excitement,ɪkˈsaɪtmənt
exciting,ɪkˈsaɪtɪŋ
exclude,ɪkˈskɫud
excluded,ɪkˈskɫudəd
excluding,ɪkˈskɫudɪŋ
exclusion,ɪkˈskɫuʒən
exclusive,ɪkˈskɫusɪv
exclusively,ɪkˈskɫusɪvɫi
excuse,ɪkˈskjus
exec,ˌɛɡˈzɛk
execute,ˈɛksəkˌjut
executed,ˈɛksəkˌjutɪd
execution,ˌɛksəkˈjuʃən
executive,ɪɡˈzɛkjətɪv
executives,ɪɡˈzɛkjətɪvz
exempt,ɪɡˈzɛmpt
exemption,ɪɡˈzɛmpʃən
exercise,ˈɛksɝˌsaɪz
exercises,ˈɛksɝˌsaɪzəz
exhaust,ɪɡˈzɔst
exhibit,ɪɡˈzɪbɪt
exhibition,ˌɛksəˈbɪʃən
exhibitions,ˌɛksəˈbɪʃənz
exhibits,ɪɡˈzɪbəts
exist,ɪɡˈzɪst
existed,ɪɡˈzɪstəd
existence,ɛɡˈzɪstəns
existing,ɪɡˈzɪstɪŋ
exists,ɪɡˈzɪsts
exit,ˈɛɡzɪt
exotic,ɪɡˈzɑtɪk
expand,ɪkˈspænd
expanded,ɪkˈspændəd
expanding,ɪkˈspændɪŋ
expansion,ɪkˈspænʃən
expect,ɪkˈspɛkt
expectations,ˌɛkspɛkˈteɪʃənz
expected,ɪkˈspɛktəd
expects,ɪkˈspɛks
expedia,ɛkˈspidiə
expenditure,ɪkˈspɛndətʃɝ
